Facet Term Slab_size Total_conv Struc_conv Elec_conv Total_energ Energ_unit Froz_energ Slab_area 
011 1 242 True True True -125.26674036 eV -124.46358289 48.536030070626325
011 1 252 True True True -142.13454951 eV -141.32992577 48.536030070626325
011 1 262 True True True -158.9999948 eV -158.20027122 48.536030070626325
011 2 101 False False False None None None
011 2 102 True True True -36.28514878 eV -35.94641346 48.536030070626325
011 2 202 True True True -53.27005026 eV -52.86198604 48.536030070626325
011 2 212 True True True -70.15986744 eV -69.73505082 48.536030070626325
011 2 222 True True True -87.03607996 eV -86.6036534 48.536030070626325
011 2 232 True True True -103.90501002 eV -103.471926 48.536030070626325
011 2 242 True True True -120.77326554 eV -120.3401903 48.536030070626325
011 2 252 True True True -137.64176735 eV -137.20854089 48.536030070626325
011 2 262 True True True -154.51024403 eV -154.07682146 48.536030070626325
011 3 101 False False False None None None
011 3 102 True True True -28.65729477 eV -27.41734363 48.536030070626325
011 3 202 True True True -45.72644986 eV -44.30916565 48.536030070626325
011 3 212 True True True -62.6429964 eV -61.18013397 48.536030070626325
011 3 222 True True True -79.51799934 eV -78.04828356 48.536030070626325
011 3 232 True True True -96.38629433 eV -94.91635139 48.536030070626325
011 3 242 True True True -113.25438577 eV -111.78457479 48.536030070626325
011 3 252 True True True -130.12266299 eV -128.65296314 48.536030070626325
011 3 262 True True True -146.9911075 eV -145.52128473 48.536030070626325
011 4 101 False False False None None None
011 4 102 True True True -32.77364184 eV -32.17186182 48.536030070626325
011 4 202 True True True -49.97593997 eV -49.0782797 48.536030070626325
011 4 212 True True True -66.84888051 eV -65.95233876 48.536030070626325
011 4 222 True True True -83.72785207 eV -82.82104274 48.536030070626325
011 4 232 True True True -100.59654174 eV -99.68938788 48.536030070626325
011 4 242 True True True -117.46449485 eV -116.5575926 48.536030070626325
011 4 252 True True True -134.33299264 eV -133.42603082 48.536030070626325
011 4 262 True True True -151.20154443 eV -150.29432744 48.536030070626325
111 0 101 True True True -17.00253151 eV -16.97223627 59.44425397560092
111 0 102 True True True -34.20664621 eV -33.7678107 59.44425397560092
111 0 202 True True True -51.06605298 eV -50.47998318 59.44425397560092
111 0 212 True True True -67.88711131 eV -67.23496708 59.44425397560092
111 0 222 True True True -84.70818678 eV -84.04090102 59.44425397560092
111 0 232 True True True -101.54214639 eV -100.87901089 59.44425397560092
111 0 242 True True True -118.38206131 eV -117.72606324 59.44425397560092
111 0 252 True True True -135.22719554 eV -134.57760425 59.44425397560092
111 0 262 True True True -152.08025764 eV -151.43414792 59.44425397560092
111 1 101 True True True -26.4148619 eV -25.56681396 59.44425397560092
111 1 102 True True True -43.14832182 eV -42.38520502 59.44425397560092
111 1 202 True True True -59.931805 eV -59.10362625 59.44425397560092
111 1 212 True True True -76.75041665 eV -75.88483886 59.44425397560092
111 1 222 True True True -93.59725048 eV -92.72983938 59.44425397560092
111 1 232 True True True -110.46066469 eV -109.5703892 59.44425397560092
111 1 242 True True True -127.32940507 eV -126.42720325 59.44425397560092
111 1 252 True True True -144.1991102 eV -143.29357426 59.44425397560092
111 1 262 True True True -161.06959832 eV -160.1612042 59.44425397560092
111 2 101 False False False None None None
111 2 102 False False False None None None
111 2 202 True True True -45.90596429 eV -44.97505194 59.44425397560092
111 2 212 True True True -62.89258691 eV -61.89769306 59.44425397560092
111 2 222 True True True -79.78182928 eV -78.7680743 59.44425397560092
111 2 232 True True True -96.65543431 eV -95.63417675 59.44425397560092
111 2 242 True True True -113.52045558 eV -112.49871749 59.44425397560092
111 2 252 True True True -130.38500546 eV -129.36304597 59.44425397560092
111 2 262 True True True -147.24924135 eV -146.22721875 59.44425397560092
111 3 101 False False False None None None
111 3 102 False False False None None None
111 3 202 True True True -34.25140659 eV -31.15993566 59.44425397560092
111 3 212 True True True -51.01608207 eV -48.06350919 59.44425397560092
111 3 222 True True True -67.87083206 eV -64.96880536 59.44425397560092
111 3 232 True True True -84.73809687 eV -81.84444074 59.44425397560092
111 3 242 True True True -101.60826309 eV -98.7165343 59.44425397560092
111 3 252 True True True -118.47247941 eV -115.59068427 59.44425397560092
111 3 262 True True True -135.33053592 eV -132.43662711 59.44425397560092
